_row_id,unit_ranking_row_id,equipment_order,equipment_id,equipment_img,raw_json
83,17,3,2025,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/spiritvisage.png,"{""equipmentId"":2025,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/spiritvisage.png""}"
84,17,4,2028,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2248.png,"{""equipmentId"":2028,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2248.png""}"
85,17,5,2023,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2023.png,"{""equipmentId"":2023,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2023.png""}"
86,18,1,2010,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2010.png,"{""equipmentId"":2010,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2010.png""}"
87,18,2,2001,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2001.png,"{""equipmentId"":2001,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2001.png""}"
88,18,3,2045,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2045.png,"{""equipmentId"":2045,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2045.png""}"
89,18,4,2003,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2003.png,"{""equipmentId"":2003,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2003.png""}"
90,18,5,2013,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/krakensfury.png,"{""equipmentId"":2013,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/krakensfury.png""}"
91,19,1,2044,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2044.png,"{""equipmentId"":2044,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2044.png""}"
92,19,2,2024,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/adaptivehelm.png,"{""equipmentId"":2024,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/adaptivehelm.png""}"
93,19,3,2031,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2031.png,"{""equipmentId"":2031,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2031.png""}"
94,19,4,2023,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2023.png,"{""equipmentId"":2023,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2023.png""}"
